"No.","Question","Correct Answer","Option 2","Option 3","Option 4","Explanation"
"1","What does AI stand for?","Artificial Intelligence","Automated Internet","Advanced Input","Artificial Information","AI stands for Artificial Intelligence: computer systems designed to perform tasks that usually require human intelligence."
"2","Which of these is a common example of AI in daily life?","A voice assistant","A paper notebook","A basic light switch","A drinking glass","Voice assistants use AI to understand speech, interpret requests, and produce useful responses."
"3","What can generative AI create?","Text, images, audio, and code","Only spreadsheets","Only physical machines","Electricity","Generative AI can produce many kinds of digital content, including text, images, music, video, and software code."
"4","Which device might use AI to recognize your face?","A smartphone","A wooden chair","A paper clip","A standard mug","Many smartphones use AI-powered facial recognition to help verify the owner's identity."
"5","What is a chatbot designed to do?","Have a conversation with users","Charge a phone battery","Print paper documents","Repair computer hardware","A chatbot is software designed to communicate with people through text or voice."
"6","What does an AI model learn from?","Data and examples","Luck alone","Electric cables","Screen brightness","AI models identify patterns by learning from data and examples during training."
"7","Can AI make mistakes?","Yes, AI can be wrong","No, AI is always correct","Only on Tuesdays","Only without internet","AI can produce incorrect, biased, or misleading results, so important outputs should be checked."
"8","What is a prompt when using generative AI?","An instruction or question","A computer battery","A type of password","A screen setting","A prompt is the instruction, question, or information you give an AI system."
"9","Which is the safest way to use an AI answer?","Check important facts","Trust every word immediately","Share private passwords","Never read the result","AI is useful, but important information should be verified with reliable sources."
"10","How can AI help with email?","Drafting and summarizing messages","Physically delivering a parcel","Replacing the internet","Charging the keyboard","AI tools can help write, rewrite, translate, and summarize email messages."
"11","What can recommendation systems suggest?","Movies, music, or products","Tomorrow's exact lottery numbers","A new law of physics","Your private password","Recommendation systems learn from patterns to suggest content or products a user may enjoy."
"12","Which field uses AI to help examine medical images?","Healthcare","Carpentry only","Pottery only","Bookbinding only","AI can assist healthcare professionals by identifying patterns in scans and other medical images."
"13","What is machine learning?","A way for computers to learn patterns from data","Teaching a laptop to walk","Building machines by hand","A faster internet cable","Machine learning is a branch of AI in which systems learn patterns from data."
